Conveyors,28161,Object
CtrlConfigurationType,15013,ObjectType
CtrlFunctionBlockType,15265,ObjectType
CtrlProgramOrganizationUnitType,15206,ObjectType
CtrlProgramType,15235,ObjectType
CtrlResourceType,15124,ObjectType
CtrlTaskType,15295,ObjectType
GP8,18811,ObjectType
HasExternalVars,15011,ReferenceType
HasInOutVars,15009,ReferenceType
HasInputVars,15007,ReferenceType
HasLocalVars,15010,ReferenceType
HasOutputVars,15008,ReferenceType
HC10,18595,ObjectType
OPCUAConneXtNamespaceMetadata,18562,Object
R01,20857,Object
R02,22698,Object
R03,24539,Object
R04,25903,Object
R05,27214,Object
SFCType,15299,ObjectType
SINAMICS_G120C,19907,ObjectType
USC_PLC,27106,Object
With,15012,ReferenceType
YRC1000,19027,ObjectType
YRC1000mini,19467,ObjectType
